id,ticket_num,issued,year,address,unit_num,unit_desc,violation_code,code_description,license,license_st,license_type,city,state,location,coors,fixed_location,xcord,ycord
10,49009845,1/12/06 12:47,2006,2038 N LINCOLN,216,CPD,940060,PARK/STAND ON BICYCLE PATH,GGZ2335,PA,PAS,Chicago,IL,"2038 N LINCOLN Chicago, IL","[41.9197940826, -87.640966326]",,41.91979408,-87.64096633
11,49519743,1/16/06 8:26,2006,3301 W MARQUETTE ROAD,8,CPD,940060,PARK/STAND ON BICYCLE PATH,684KBK,WI,PAS,Chicago,IL,"3301 W MARQUETTE ROAD Chicago, IL","[41.7715718597, -87.7055425197]",,41.77157186,-87.70554252
12,49194774,1/20/06 16:36,2006,2409 N SOUTHPORT,19,CPD,940060,PARK/STAND ON BICYCLE PATH,1726LJ,MI,PAS,Chicago,IL,"2409 N SOUTHPORT Chicago, IL","[41.9254307449, -87.6631683111]",,41.92543074,-87.66316831
13,48977748,1/21/06 20:26,2006,2019 W DIVISION,13,CPD,940060,PARK/STAND ON BICYCLE PATH,6419256,IL,PAS,Chicago,IL,"2019 W DIVISION Chicago, IL","[41.9031120837, -87.67805323]",,41.90311208,-87.67805323
14,49323514,1/13/06 16:42,2006,1348 N WELLS,18,CPD,940060,PARK/STAND ON BICYCLE PATH,2410TX,IL,TXI,Chicago,IL,"1348 N WELLS Chicago, IL","[41.9069952518, -87.6346349716]",,41.90699525,-87.63463497
15,49511680,1/22/06 17:48,2006,869 N MILWAUKEE,13,CPD,940060,PARK/STAND ON BICYCLE PATH,5604197,IL,PAS,Chicago,IL,"869 N MILWAUKEE Chicago, IL","[41.8975625932, -87.6573720574]",,41.89756259,-87.65737206
16,49500253,1/22/06 11:01,2006,4010 W 26TH ST,10,CPD,940060,PARK/STAND ON BICYCLE PATH,2720517,IL,PAS,Chicago,IL,"4010 W 26TH ST Chicago, IL","[41.8445205688, -87.7251968384]",,41.84452057,-87.72519684
17,49262052,1/25/06 5:55,2006,2125 W DIVISION,13,CPD,940060,PARK/STAND ON BICYCLE PATH,897F658,IL,TMP,Chicago,IL,"2125 W DIVISION Chicago, IL","[41.9028282166, -87.6807403564]",,41.90282822,-87.68074036
18,47535466,1/25/06 5:15,2006,2823 N SEMINARY,19,CPD,940060,PARK/STAND ON BICYCLE PATH,863JZB,IA,PAS,Chicago,IL,"2823 N SEMINARY Chicago, IL","[41.933266148, -87.6562140137]",,41.93326615,-87.65621401
19,49450487,1/22/06 20:40,2006,2264 N LINCOLN,18,CPD,940060,PARK/STAND ON BICYCLE PATH,7708031,IL,PAS,Chicago,IL,"2264 N LINCOLN Chicago, IL","[41.9229657948, -87.6453825831]",,41.92296579,-87.64538258
20,49593467,1/25/06 23:20,2006,4625 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,4525560,IL,PAS,Chicago,IL,"4625 S DREXEL Chicago, IL","[41.810677126, -87.6038767397]",,41.81067713,-87.60387674
21,49440273,1/26/06 13:42,2006,4010 W 26TH STREET,10,CPD,940060,PARK/STAND ON BICYCLE PATH,13567G,IL,TRK,Chicago,IL,"4010 W 26TH STREET Chicago, IL","[41.8445205688, -87.7251968384]",,41.84452057,-87.72519684
22,49450913,1/23/06 13:07,2006,1716 N WELLS,18,CPD,940060,PARK/STAND ON BICYCLE PATH,B560253,IL,PAS,Chicago,IL,"1716 N WELLS Chicago, IL","[41.9132461548, -87.6352996826]",,41.91324615,-87.63529968
23,49515731,1/19/06 16:12,2006,1542 N WELLS,18,CPD,940060,PARK/STAND ON BICYCLE PATH,HLR702,IL,PAS,Chicago,IL,"1542 N WELLS Chicago, IL","[41.9100315124, -87.6347523183]",,41.91003151,-87.63475232
24,49319333,1/26/06 3:32,2006,8373 S BALTIMORE,4,CPD,940060,PARK/STAND ON BICYCLE PATH,6488565,IL,PAS,Chicago,IL,"8373 S BALTIMORE Chicago, IL","[41.7436256409, -87.5533676147]",,41.74362564,-87.55336761
25,49512504,1/26/06 20:36,2006,2327 W AUGUSTA,13,CPD,940060,PARK/STAND ON BICYCLE PATH,9645692,IL,PAS,Chicago,IL,"2327 W AUGUSTA Chicago, IL","[41.8993489444, -87.6852831244]",,41.89934894,-87.68528312
26,49512854,1/30/06 12:10,2006,1421 W AUGUSTA,13,CPD,940060,PARK/STAND ON BICYCLE PATH,84827H,IL,TRK,Chicago,IL,"1421 W AUGUSTA Chicago, IL","[41.8995094299, -87.6633529663]",,41.89950943,-87.66335297
27,49495487,2/4/06 16:28,2006,1562 N WELLS,18,CPD,940060,PARK/STAND ON BICYCLE PATH,2660265,IL,PAS,Chicago,IL,"1562 N WELLS Chicago, IL","[41.9109611511, -87.6350326538]",,41.91096115,-87.63503265
28,49384803,2/2/06 9:06,2006,25 S CANAL,152,CPD,940060,PARK/STAND ON BICYCLE PATH,478MF,IL,TRK,Chicago,IL,"25 S CANAL Chicago, IL","[41.8814854324, -87.6396205276]",,41.88148543,-87.63962053
29,49546964,2/6/06 16:25,2006,2740 N ELSTON,14,CPD,940060,PARK/STAND ON BICYCLE PATH,6723802,IL,PAS,Chicago,IL,"2740 N ELSTON Chicago, IL","[41.9313175231, -87.6866000891]",,41.93131752,-87.68660009
30,49756349,2/7/06 19:27,2006,1614 N WELLS,18,CPD,940060,PARK/STAND ON BICYCLE PATH,914TX,IL,TXI,Chicago,IL,"1614 N WELLS Chicago, IL","[41.911547631, -87.6347912103]",,41.91154763,-87.63479121
31,48827538,2/11/06 2:18,2006,5861 W KENMORE,20,CPD,940060,PARK/STAND ON BICYCLE PATH,6337671,IL,PAS,Chicago,IL,"5861 W KENMORE Chicago, IL","[41.9886095077, -87.6566331089]","5861 N KENMORE Chicago, IL",41.98860951,-87.65663311
32,49511960,2/9/06 10:35,2006,2325 W WARREN BLVD,13,CPD,940060,PARK/STAND ON BICYCLE PATH,878F208,IL,TMP,Chicago,IL,"2325 W WARREN BLVD Chicago, IL","[41.8818397522, -87.685043335]",,41.88183975,-87.68504334
33,49488692,2/13/06 17:55,2006,4901 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,9064024,IL,PAS,Chicago,IL,"4901 S DREXEL Chicago, IL","[41.8056335449, -87.6033096313]",,41.80563354,-87.60330963
34,49504277,2/13/06 18:58,2006,1513 E MARQUETTE RD,3,CPD,940060,PARK/STAND ON BICYCLE PATH,4039917,IL,PAS,Chicago,IL,"1513 E MARQUETTE RD Chicago, IL","[41.7748908997, -87.588218689]",,41.7748909,-87.58821869
35,49758207,2/14/06 12:48,2006,1645 N WELLS,18,CPD,940060,PARK/STAND ON BICYCLE PATH,TZV9845,IL,PAS,Chicago,IL,"1645 N WELLS Chicago, IL","[41.9124526978, -87.6343231201]",,41.9124527,-87.63432312
36,49498539,2/13/06 11:18,2006,1616 N WELLS,18,CPD,940060,PARK/STAND ON BICYCLE PATH,5861310,IL,PAS,Chicago,IL,"1616 N WELLS Chicago, IL","[41.911585182, -87.6347918808]",,41.91158518,-87.63479188
37,49488701,2/13/06 18:01,2006,4915 S DREXEL BLVD,21,CPD,940060,PARK/STAND ON BICYCLE PATH,45R4529,IN,PAS,Chicago,IL,"4915 S DREXEL BLVD Chicago, IL","[41.8053588867, -87.6033096313]",,41.80535889,-87.60330963
38,49406469,2/21/06 20:10,2006,5201 N SIMONDS DR,20,CPD,940060,PARK/STAND ON BICYCLE PATH,475JTF,WI,PAS,Chicago,IL,"5201 N SIMONDS DR Chicago, IL","[41.9670600891, -87.6433105469]",,41.96706009,-87.64331055
39,49010236,2/3/06 4:05,2006,1746 N WELLS,216,CPD,940060,PARK/STAND ON BICYCLE PATH,17796,IL,PAS,Chicago,IL,"1746 N WELLS Chicago, IL","[41.9142723083, -87.635093689]",,41.91427231,-87.63509369
40,49010237,2/3/06 16:08,2006,1748 N WELLS,216,CPD,940060,PARK/STAND ON BICYCLE PATH,1243332,IL,PAS,Chicago,IL,"1748 N WELLS Chicago, IL","[41.914325729, -87.6348629594]",,41.91432573,-87.63486296
41,49902603,2/22/06 13:25,2006,1405 N WELLS,18,CPD,940060,PARK/STAND ON BICYCLE PATH,7031837,IL,PAS,Chicago,IL,"1405 N WELLS Chicago, IL","[41.907857582, -87.6345571876]",,41.90785758,-87.63455719
42,49345479,2/21/06 13:00,2006,5655 N ELSTON,16,CPD,940060,PARK/STAND ON BICYCLE PATH,7429772,IL,PAS,Chicago,IL,"5655 N ELSTON Chicago, IL","[41.9841235131, -87.766489014]",,41.98412351,-87.76648901
43,49489303,2/23/06 0:44,2006,4855 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,5774956,IL,PAS,Chicago,IL,"4855 S DREXEL Chicago, IL","[41.8065981567, -87.6037996262]",,41.80659816,-87.60379963
44,49736618,2/22/06 19:10,2006,1241 S WABASH,1,CPD,940060,PARK/STAND ON BICYCLE PATH,4496899,IL,PAS,Chicago,IL,"1241 S WABASH Chicago, IL","[41.8663406372, -87.6253051758]",,41.86634064,-87.62530518
45,49447345,3/1/06 21:50,2006,2114 S TRUMBULL,10,CPD,940060,PARK/STAND ON BICYCLE PATH,8347742,IL,PAS,Chicago,IL,"2114 S TRUMBULL Chicago, IL","[41.8530502319, -87.7115249634]",,41.85305023,-87.71152496
46,49736026,3/3/06 12:45,2006,1231 S WABASG,1,CPD,940060,PARK/STAND ON BICYCLE PATH,99046EB,IL,TRK,Chicago,IL,"1231 S WABASG Chicago, IL","[41.8666152954, -87.6253128052]",,41.8666153,-87.62531281
47,49008776,2/24/06 16:40,2006,1548 N WELLS,216,CPD,940060,PARK/STAND ON BICYCLE PATH,375MES,AZ,PAS,Chicago,IL,"1548 N WELLS Chicago, IL","[41.910533905, -87.635017395]",,41.91053391,-87.6350174
48,49008777,2/24/06 16:51,2006,1317 N WELLS,216,CPD,940060,PARK/STAND ON BICYCLE PATH,111576TW,IL,TRK,Chicago,IL,"1317 N WELLS Chicago, IL","[41.9062728882, -87.6341094971]",,41.90627289,-87.6341095
49,49676157,3/5/06 3:32,2006,4700 N LAKE SHORE DR,23,CPD,940060,PARK/STAND ON BICYCLE PATH,1129,IL,PML,Chicago,IL,"4700 N LAKE SHORE DR Chicago, IL","[41.8945083618, -87.6153106689]",,41.89450836,-87.61531067
50,49497380,2/2/06 1:07,2006,2274 N LINCOLN,18,CPD,940060,PARK/STAND ON BICYCLE PATH,6552987,IL,PAS,Chicago,IL,"2274 N LINCOLN Chicago, IL","[41.9231320918, -87.645611912]",,41.92313209,-87.64561191
51,49903026,3/7/06 9:22,2006,1007 W ARMITAGE,18,CPD,940060,PARK/STAND ON BICYCLE PATH,7373CD,IL,MAM,Chicago,IL,"1007 W ARMITAGE Chicago, IL","[41.9178771973, -87.6537017822]",,41.9178772,-87.65370178
52,49912638,3/4/06 21:10,2006,1866 N DAMEN,14,CPD,940060,PARK/STAND ON BICYCLE PATH,2762AN,IL,PAS,Chicago,IL,"1866 N DAMEN Chicago, IL","[41.9157829285, -87.6778869629]",,41.91578293,-87.67788696
53,49491805,3/12/06 18:24,2006,4910 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,7815129,IL,PAS,Chicago,IL,"4910 S DREXEL Chicago, IL","[41.8055496216, -87.6047821045]",,41.80554962,-87.6047821
54,49446607,3/13/06 18:58,2006,1829 S CENTRAL PK,10,CPD,940060,PARK/STAND ON BICYCLE PATH,9813127,IL,PAS,Chicago,IL,"1829 S CENTRAL PK Chicago, IL","[41.8562736511, -87.7147750854]",,41.85627365,-87.71477509
55,49656281,3/11/06 8:02,2006,2331 S CENTRAL PARK,10,CPD,940060,PARK/STAND ON BICYCLE PATH,6248829,IL,PAS,Chicago,IL,"2331 S CENTRAL PARK Chicago, IL","[41.8488053977, -87.7148196101]",,41.8488054,-87.71481961
56,49656282,3/11/06 8:08,2006,1541 S CENTRAL PARK,10,CPD,940060,PARK/STAND ON BICYCLE PATH,8500423,IL,PAS,Chicago,IL,"1541 S CENTRAL PARK Chicago, IL","[41.8595848083, -87.7148742676]",,41.85958481,-87.71487427
57,49782555,3/12/06 8:29,2006,1623 N HALSTED,18,CPD,940060,PARK/STAND ON BICYCLE PATH,472NXT,IA,PAS,Chicago,IL,"1623 N HALSTED Chicago, IL","[41.9116630554, -87.6479110718]",,41.91166306,-87.64791107
58,49815186,3/15/06 18:45,2006,1407 N WELLS,18,CPD,940060,PARK/STAND ON BICYCLE PATH,9812922,IL,PAS,Chicago,IL,"1407 N WELLS Chicago, IL","[41.908000946, -87.6341552734]",,41.90800095,-87.63415527
59,50146251,2/21/06 17:45,2006,235 W 83RD ST,6,CPD,940060,PARK/STAND ON BICYCLE PATH,3653220,IL,PAS,Chicago,IL,"235 W 83RD ST Chicago, IL","[41.743510589, -87.6306451857]",,41.74351059,-87.63064519
60,50146254,2/22/06 17:25,2006,103 E 83RD ST,6,CPD,940060,PARK/STAND ON BICYCLE PATH,59377B,IL,TRK,Chicago,IL,"103 E 83RD ST Chicago, IL","[41.743473053, -87.6209106445]",,41.74347305,-87.62091064
61,49522994,3/19/06 3:51,2006,4078 W 26TH ST,10,CPD,940060,PARK/STAND ON BICYCLE PATH,7193898,IL,PAS,Chicago,IL,"4078 W 26TH ST Chicago, IL","[41.8444862366, -87.7274780273]",,41.84448624,-87.72747803
62,49759821,3/19/06 12:50,2006,3310 W MARQUETTE ROAD,8,CPD,940060,PARK/STAND ON BICYCLE PATH,9105158,IL,PAS,Chicago,IL,"3310 W MARQUETTE ROAD Chicago, IL","[41.771658361, -87.7057557553]",,41.77165836,-87.70575576
63,48905065,3/19/06 1:50,2006,4612 N KEDZIE,17,CPD,940060,PARK/STAND ON BICYCLE PATH,8534581,IL,PAS,Chicago,IL,"4612 N KEDZIE Chicago, IL","[41.9651451111, -87.7087249756]",,41.96514511,-87.70872498
64,48905069,3/19/06 1:50,2006,4614  KEDZIE,17,CPD,940060,PARK/STAND ON BICYCLE PATH,6599293,IL,PAS,Chicago,IL,"4614  KEDZIE Chicago, IL","[41.9651495665, -87.7084305882]",,41.96514957,-87.70843059
65,49509288,3/19/06 18:00,2006,7357 S SOUTH SHORE DR,3,CPD,940060,PARK/STAND ON BICYCLE PATH,6410938,IL,PAS,Chicago,IL,"7357 S SOUTH SHORE DR Chicago, IL","[41.7629029602, -87.5594137609]",,41.76290296,-87.55941376
66,49759822,3/20/06 8:03,2006,3325 W MARQUETTE ROAD,8,CPD,940060,PARK/STAND ON BICYCLE PATH,9105158,IL,PAS,Chicago,IL,"3325 W MARQUETTE ROAD Chicago, IL","[41.7715638131, -87.7060474455]",,41.77156381,-87.70604745
67,49759823,3/20/06 8:05,2006,3239 W MARQUETTE ROAD,8,CPD,940060,PARK/STAND ON BICYCLE PATH,DL2215AC,IL,DLC,Chicago,IL,"3239 W MARQUETTE ROAD Chicago, IL","[41.7715872824, -87.7039492875]",,41.77158728,-87.70394929
68,50034652,3/21/06 15:50,2006,1721 W DIVISION,13,CPD,940060,PARK/STAND ON BICYCLE PATH,DL1932,IL,PAS,Chicago,IL,"1721 W DIVISION Chicago, IL","[41.9029846191, -87.6708145142]",,41.90298462,-87.67081451
69,49437260,3/21/06 20:37,2006,7458 S SOUTH SHORE DR,3,CPD,940060,PARK/STAND ON BICYCLE PATH,165JXR,WI,PAS,Chicago,IL,"7458 S SOUTH SHORE DR Chicago, IL","[41.7612956464, -87.5579412282]",,41.76129565,-87.55794123
70,49492458,3/21/06 16:03,2006,4825 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,7130984,IL,PAS,Chicago,IL,"4825 S DREXEL Chicago, IL","[41.8069801331, -87.6032104492]",,41.80698013,-87.60321045
71,49492463,3/21/06 21:32,2006,4821 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,240G773,IL,TMP,Chicago,IL,"4821 S DREXEL Chicago, IL","[41.8070232868, -87.6038056612]",,41.80702329,-87.60380566
72,49492466,3/21/06 22:13,2006,4829 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,9871971,IL,PAS,Chicago,IL,"4829 S DREXEL Chicago, IL","[41.8069233745, -87.6038043201]",,41.80692337,-87.60380432
73,49492468,3/21/06 22:15,2006,4829 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,7367962,IL,PAS,Chicago,IL,"4829 S DREXEL Chicago, IL","[41.8069233745, -87.6038043201]",,41.80692337,-87.60380432
74,49492470,3/21/06 22:31,2006,4625 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,857F291,IL,TMP,Chicago,IL,"4625 S DREXEL Chicago, IL","[41.810677126, -87.6038767397]",,41.81067713,-87.60387674
75,49492472,3/21/06 22:31,2006,4625 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,4234506,IL,PAS,Chicago,IL,"4625 S DREXEL Chicago, IL","[41.810677126, -87.6038767397]",,41.81067713,-87.60387674
76,50002538,3/20/06 15:09,2006,1617 N WELLS,18,CPD,940060,PARK/STAND ON BICYCLE PATH,D44STC,TX,PAS,Chicago,IL,"1617 N WELLS Chicago, IL","[41.9116897583, -87.6341552734]",,41.91168976,-87.63415527
77,50002624,3/22/06 17:28,2006,1531 N WELLS,18,CPD,940060,PARK/STAND ON BICYCLE PATH,9859563,IL,PAS,Chicago,IL,"1531 N WELLS Chicago, IL","[41.9100418091, -87.634223938]",,41.91004181,-87.63422394
78,49493334,3/23/06 22:00,2006,4659 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,6458460,IL,PAS,Chicago,IL,"4659 S DREXEL Chicago, IL","[41.8098602295, -87.6033477783]",,41.80986023,-87.60334778
79,49493487,3/25/06 19:46,2006,4659 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,9874710,IL,PAS,Chicago,IL,"4659 S DREXEL Chicago, IL","[41.8098602295, -87.6033477783]",,41.80986023,-87.60334778
80,49493488,3/25/06 15:47,2006,4657 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,9654007,IL,PAS,Chicago,IL,"4657 S DREXEL Chicago, IL","[41.8102446198, -87.6038740575]",,41.81024462,-87.60387406
81,49493489,3/25/06 19:49,2006,4613 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,3613196,IL,PAS,Chicago,IL,"4613 S DREXEL Chicago, IL","[41.8108387291, -87.6038780808]",,41.81083873,-87.60387808
82,49493495,3/25/06 22:39,2006,4825 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,7628930,IL,PAS,Chicago,IL,"4825 S DREXEL Chicago, IL","[41.8069801331, -87.6032104492]",,41.80698013,-87.60321045
83,49817386,3/25/06 10:50,2006,1604 N WELLS,18,CPD,940060,PARK/STAND ON BICYCLE PATH,38004E,IL,TRK,Chicago,IL,"1604 N WELLS Chicago, IL","[41.9113612175, -87.6347858459]",,41.91136122,-87.63478585
84,49461589,3/14/06 10:25,2006,716 W 67TH,7,CPD,940060,PARK/STAND ON BICYCLE PATH,576F887,IL,TMP,Chicago,IL,"716 W 67TH Chicago, IL","[41.7725220323, -87.6434352994]",,41.77252203,-87.6434353
85,49493506,3/26/06 19:10,2006,3901 S LAKE SHORE DR,21,CPD,940060,PARK/STAND ON BICYCLE PATH,9998024,IL,PAS,Chicago,IL,"3901 S LAKE SHORE DR Chicago, IL","[41.8294787407, -87.6043374091]",,41.82947874,-87.60433741
86,49493731,3/28/06 22:47,2006,4825 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,108NCD,KY,PAS,Chicago,IL,"4825 S DREXEL Chicago, IL","[41.8069801331, -87.6032104492]",,41.80698013,-87.60321045
87,49815665,3/29/06 6:40,2006,1551 N WELLS,18,CPD,940060,PARK/STAND ON BICYCLE PATH,9115307,IL,PAS,Chicago,IL,"1551 N WELLS Chicago, IL","[41.9101729989, -87.6346349716]",,41.910173,-87.63463497
88,49493907,4/3/06 17:20,2006,442 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,7879863,IL,PAS,Chicago,IL,"442 S DREXEL Chicago, IL","[41.8020591736, -87.6041030884]",,41.80205917,-87.60410309
89,49493963,4/3/06 17:18,2006,4430 S DREXEL BLVD,21,CPD,940060,PARK/STAND ON BICYCLE PATH,762F160,IL,TMP,Chicago,IL,"4430 S DREXEL BLVD Chicago, IL","[41.8144154549, -87.6045171171]",,41.81441545,-87.60451712
90,49493964,4/3/06 17:18,2006,4420 S DREXEL BLVD,21,CPD,940060,PARK/STAND ON BICYCLE PATH,6616358,IL,PAS,Chicago,IL,"4420 S DREXEL BLVD Chicago, IL","[41.8145743757, -87.6045204699]",,41.81457438,-87.60452047
91,49433938,4/5/06 21:50,2006,3131 N CLARK,23,CPD,940060,PARK/STAND ON BICYCLE PATH,3328TX,IL,TXI,Chicago,IL,"3131 N CLARK Chicago, IL","[41.9383623451, -87.6493120193]",,41.93836235,-87.64931202
92,49433939,4/5/06 22:00,2006,3130 N CLARK,23,CPD,940060,PARK/STAND ON BICYCLE PATH,6115TX,IL,TXI,Chicago,IL,"3130 N CLARK Chicago, IL","[41.9396286011, -87.6508483887]",,41.9396286,-87.65084839
93,49494456,4/4/06 20:37,2006,4919 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,6773071,IL,PAS,Chicago,IL,"4919 S DREXEL Chicago, IL","[41.8054246902, -87.6037761569]",,41.80542469,-87.60377616
94,49824757,4/3/06 17:14,2006,1603 N WELLS,18,CPD,940060,PARK/STAND ON BICYCLE PATH,9429288,IL,PAS,Chicago,IL,"1603 N WELLS Chicago, IL","[41.9113417715, -87.6346644759]",,41.91134177,-87.63466448
95,49494429,4/5/06 21:34,2006,4722 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,9870266,IL,PAS,Chicago,IL,"4722 S DREXEL Chicago, IL","[41.8090617657, -87.6043923944]",,41.80906177,-87.60439239
96,49494433,4/5/06 21:34,2006,4728 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,7632282,IL,PAS,Chicago,IL,"4728 S DREXEL Chicago, IL","[41.8089692295, -87.6043910533]",,41.80896923,-87.60439105
97,49494435,4/5/06 21:06,2006,4917 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,2306756,IL,TMP,Chicago,IL,"4917 S DREXEL Chicago, IL","[41.8054635823, -87.603777498]",,41.80546358,-87.6037775
98,49494437,4/5/06 21:37,2006,4915 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,23A3704,AL,PAS,Chicago,IL,"4915 S DREXEL Chicago, IL","[41.8053588867, -87.6033096313]",,41.80535889,-87.60330963
99,49494439,4/5/06 21:46,2006,4905 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,4480816,IL,PAS,Chicago,IL,"4905 S DREXEL Chicago, IL","[41.8056962639, -87.603783533]",,41.80569626,-87.60378353
100,49494468,4/5/06 21:24,2006,4536 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,7760693,IL,PAS,Chicago,IL,"4536 S DREXEL Chicago, IL","[41.8123099208, -87.6044581085]",,41.81230992,-87.60445811
101,49494470,4/5/06 21:28,2006,4826 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,45P8048,IN,PAS,Chicago,IL,"4826 S DREXEL Chicago, IL","[41.8069475144, -87.6043575257]",,41.80694751,-87.60435753
102,49494472,4/5/06 21:33,2006,4720 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,958F918,IL,TMP,Chicago,IL,"4720 S DREXEL Chicago, IL","[41.8087844849, -87.6048812866]",,41.80878448,-87.60488129
103,49494474,4/5/06 21:33,2006,14720 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,96185G,IL,TRK,Chicago,IL,"14720 S DREXEL Chicago, IL","[41.8020591736, -87.6041030884]",,41.80205917,-87.60410309
104,50006450,4/5/06 16:16,2006,936 W ARMITAGE,18,CPD,940060,PARK/STAND ON BICYCLE PATH,6760537,IL,PAS,Chicago,IL,"936 W ARMITAGE Chicago, IL","[41.918384552, -87.6524124146]",,41.91838455,-87.65241241
105,49844252,4/11/06 16:38,2006,4617 S DREXEL D,21,CPD,940060,PARK/STAND ON BICYCLE PATH,7654153,IL,PAS,Chicago,IL,"4617 S DREXEL D Chicago, IL","[41.810785085, -87.6038780808]","4617 S DREXEL BLVD Chicago, IL",41.81078509,-87.60387808
106,49844261,4/11/06 18:48,2006,6021 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,5331975,IL,PAS,Chicago,IL,"6021 S DREXEL Chicago, IL","[41.7854207754, -87.6043749601]",,41.78542078,-87.60437496
107,49844262,4/11/06 18:48,2006,5017 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,4801045,IL,PAS,Chicago,IL,"5017 S DREXEL Chicago, IL","[41.8035390973, -87.603732571]",,41.8035391,-87.60373257
108,49844263,4/11/06 18:49,2006,4919 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,9847280,IL,PAS,Chicago,IL,"4919 S DREXEL Chicago, IL","[41.8054246902, -87.6037761569]",,41.80542469,-87.60377616
