DISTNAME,DISTITLE,tix_biking,tix_parking,pop_total,pop_asian,pop_black,pop_hispanic,pop_white,pop_other,pop_plurality,tix_bike_10k,tix_parking_10k
39,Kenwood,36,444,18217,1492,12362,701,3236,426,black,19.8,243.7
40,Washington Park,205,17,11647,11,11070,246,33,287,black,176.0,14.6
41,Hyde Park,16,71,26705,3242,8519,1681,12298,965,white,6.0,26.6
42,Woodlawn,400,42,25451,710,21693,617,1982,449,black,157.2,16.5
43,South Shore,567,17,48816,85,45844,1000,897,990,black,116.2,3.5
44,Chatham,167,9,31493,90,30636,230,202,335,black,53.0,2.9
45,Avalon Park,19,0,10098,30,9721,59,220,68,black,18.8,0.0
46,South Chicago,570,26,28550,106,20802,6494,875,273,black,199.6,9.1
47,Burnside,2,0,2618,0,2618,0,0,0,black,7.6,0.0
48,Calumet Heights,18,2,13400,19,12462,519,269,131,black,13.4,1.5
49,Roseland,613,14,44267,150,42822,489,471,335,black,138.5,3.2
50,Pullman,18,1,6970,42,5735,570,605,18,black,25.8,1.4
51,South Deering,36,2,15570,36,9722,4931,709,172,black,23.1,1.3
52,East Side,31,4,23739,34,398,19148,4086,73,hispanic,13.1,1.7
53,West Pullman,292,2,28160,51,26297,1275,279,258,black,103.7,0.7
54,Riverdale,3,0,7190,0,6910,180,74,26,black,4.2,0.0
55,Hegewisch,5,0,9338,16,408,4887,3971,56,hispanic,5.4,0.0
56,Garfield Ridge,21,0,34743,512,1461,15297,17169,304,white,6.0,0.0
57,Archer Heights,7,0,13998,333,111,10585,2890,79,hispanic,5.0,0.0
58,Brighton Park,113,1,44130,3032,577,37509,2950,62,hispanic,25.6,0.2
59,McKinley Park,35,1,16449,3185,446,9487,3104,227,hispanic,21.3,0.6
60,Bridgeport,81,28,31939,10868,874,8941,10437,819,asian,25.4,8.8
61,New City,590,62,41598,927,11222,23536,5473,440,hispanic,141.8,14.9
62,West Elsdon,5,1,19165,257,133,15354,3397,24,hispanic,2.6,0.5
63,Gage Park,80,1,40381,333,1336,37260,1421,31,hispanic,19.8,0.2
64,Clearing,13,1,24452,345,167,12005,11776,159,hispanic,5.3,0.4
65,West Lawn,26,2,33477,143,932,26926,5350,126,hispanic,7.8,0.6
66,Chicago Lawn,722,113,56293,421,27974,25583,1854,461,black,128.3,20.1
67,West Englewood,640,21,34272,11,32203,1297,258,503,black,186.7,6.1
68,Englewood,349,70,27297,73,26054,543,226,401,black,127.9,25.6
69,Greater Grand Crossing,279,21,32849,20,31332,602,419,476,black,84.9,6.4
70,Ashburn,38,3,42809,195,20584,15384,6232,414,black,8.9,0.7
71,Auburn Gresham,323,51,47611,126,46204,672,175,434,black,67.8,10.7
72,Beverly,17,0,21002,83,7601,1169,11761,388,white,8.1,0.0
73,Washington Heights,130,6,26435,1,25394,359,198,483,black,49.2,2.3
74,Mount Greenwood,13,0,18357,410,826,1040,15870,211,white,7.1,0.0
75,Morgan Park,103,3,23204,52,15131,623,6925,473,black,44.4,1.3
76,O'Hare,1,0,14143,1359,150,1675,10375,584,white,0.7,0.0
77,Edgewater,447,44,55276,6482,7685,9007,30151,1951,white,80.9,8.0
