,Unnamed: 0,id,ticket_num,issued,year,address,unit_num,unit_desc,violation_code,code_description,license,license_st,license_type,city,state,location
45,45,46,49447345,3/1/06 21:50,2006,2114 S TRUMBULL,10,CPD,940060,PARK/STAND ON BICYCLE PATH,8347742,IL,PAS,Chicago,IL,"2114 S TRUMBULL Chicago, IL"
46,46,47,49736026,3/3/06 12:45,2006,1231 S WABASG,1,CPD,940060,PARK/STAND ON BICYCLE PATH,99046EB,IL,TRK,Chicago,IL,"1231 S WABASG Chicago, IL"
47,47,48,49008776,2/24/06 16:40,2006,1548 N WELLS,216,CPD,940060,PARK/STAND ON BICYCLE PATH,375MES,AZ,PAS,Chicago,IL,"1548 N WELLS Chicago, IL"
48,48,49,49008777,2/24/06 16:51,2006,1317 N WELLS,216,CPD,940060,PARK/STAND ON BICYCLE PATH,111576TW,IL,TRK,Chicago,IL,"1317 N WELLS Chicago, IL"
49,49,50,49676157,3/5/06 3:32,2006,4700 N LAKE SHORE DR,23,CPD,940060,PARK/STAND ON BICYCLE PATH,1129,IL,PML,Chicago,IL,"4700 N LAKE SHORE DR Chicago, IL"
50,50,51,49497380,2/2/06 1:07,2006,2274 N LINCOLN,18,CPD,940060,PARK/STAND ON BICYCLE PATH,6552987,IL,PAS,Chicago,IL,"2274 N LINCOLN Chicago, IL"
51,51,52,49903026,3/7/06 9:22,2006,1007 W ARMITAGE,18,CPD,940060,PARK/STAND ON BICYCLE PATH,7373CD,IL,MAM,Chicago,IL,"1007 W ARMITAGE Chicago, IL"
52,52,53,49912638,3/4/06 21:10,2006,1866 N DAMEN,14,CPD,940060,PARK/STAND ON BICYCLE PATH,2762AN,IL,PAS,Chicago,IL,"1866 N DAMEN Chicago, IL"
53,53,54,49491805,3/12/06 18:24,2006,4910 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,7815129,IL,PAS,Chicago,IL,"4910 S DREXEL Chicago, IL"
54,54,55,49446607,3/13/06 18:58,2006,1829 S CENTRAL PK,10,CPD,940060,PARK/STAND ON BICYCLE PATH,9813127,IL,PAS,Chicago,IL,"1829 S CENTRAL PK Chicago, IL"
55,55,56,49656281,3/11/06 8:02,2006,2331 S CENTRAL PARK,10,CPD,940060,PARK/STAND ON BICYCLE PATH,6248829,IL,PAS,Chicago,IL,"2331 S CENTRAL PARK Chicago, IL"
56,56,57,49656282,3/11/06 8:08,2006,1541 S CENTRAL PARK,10,CPD,940060,PARK/STAND ON BICYCLE PATH,8500423,IL,PAS,Chicago,IL,"1541 S CENTRAL PARK Chicago, IL"
57,57,58,49782555,3/12/06 8:29,2006,1623 N HALSTED,18,CPD,940060,PARK/STAND ON BICYCLE PATH,472NXT,IA,PAS,Chicago,IL,"1623 N HALSTED Chicago, IL"
58,58,59,49815186,3/15/06 18:45,2006,1407 N WELLS,18,CPD,940060,PARK/STAND ON BICYCLE PATH,9812922,IL,PAS,Chicago,IL,"1407 N WELLS Chicago, IL"
59,59,60,50146251,2/21/06 17:45,2006,235 W 83RD ST,6,CPD,940060,PARK/STAND ON BICYCLE PATH,3653220,IL,PAS,Chicago,IL,"235 W 83RD ST Chicago, IL"
60,60,61,50146254,2/22/06 17:25,2006,103 E 83RD ST,6,CPD,940060,PARK/STAND ON BICYCLE PATH,59377B,IL,TRK,Chicago,IL,"103 E 83RD ST Chicago, IL"
61,61,62,49522994,3/19/06 3:51,2006,4078 W 26TH ST,10,CPD,940060,PARK/STAND ON BICYCLE PATH,7193898,IL,PAS,Chicago,IL,"4078 W 26TH ST Chicago, IL"
62,62,63,49759821,3/19/06 12:50,2006,3310 W MARQUETTE ROAD,8,CPD,940060,PARK/STAND ON BICYCLE PATH,9105158,IL,PAS,Chicago,IL,"3310 W MARQUETTE ROAD Chicago, IL"
63,63,64,48905065,3/19/06 1:50,2006,4612 N KEDZIE,17,CPD,940060,PARK/STAND ON BICYCLE PATH,8534581,IL,PAS,Chicago,IL,"4612 N KEDZIE Chicago, IL"
64,64,65,48905069,3/19/06 1:50,2006,4614  KEDZIE,17,CPD,940060,PARK/STAND ON BICYCLE PATH,6599293,IL,PAS,Chicago,IL,"4614  KEDZIE Chicago, IL"
65,65,66,49509288,3/19/06 18:00,2006,7357 S SOUTH SHORE DR,3,CPD,940060,PARK/STAND ON BICYCLE PATH,6410938,IL,PAS,Chicago,IL,"7357 S SOUTH SHORE DR Chicago, IL"
66,66,67,49759822,3/20/06 8:03,2006,3325 W MARQUETTE ROAD,8,CPD,940060,PARK/STAND ON BICYCLE PATH,9105158,IL,PAS,Chicago,IL,"3325 W MARQUETTE ROAD Chicago, IL"
67,67,68,49759823,3/20/06 8:05,2006,3239 W MARQUETTE ROAD,8,CPD,940060,PARK/STAND ON BICYCLE PATH,DL2215AC,IL,DLC,Chicago,IL,"3239 W MARQUETTE ROAD Chicago, IL"
68,68,69,50034652,3/21/06 15:50,2006,1721 W DIVISION,13,CPD,940060,PARK/STAND ON BICYCLE PATH,DL1932,IL,PAS,Chicago,IL,"1721 W DIVISION Chicago, IL"
69,69,70,49437260,3/21/06 20:37,2006,7458 S SOUTH SHORE DR,3,CPD,940060,PARK/STAND ON BICYCLE PATH,165JXR,WI,PAS,Chicago,IL,"7458 S SOUTH SHORE DR Chicago, IL"
70,70,71,49492458,3/21/06 16:03,2006,4825 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,7130984,IL,PAS,Chicago,IL,"4825 S DREXEL Chicago, IL"
71,71,72,49492463,3/21/06 21:32,2006,4821 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,240G773,IL,TMP,Chicago,IL,"4821 S DREXEL Chicago, IL"
72,72,73,49492466,3/21/06 22:13,2006,4829 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,9871971,IL,PAS,Chicago,IL,"4829 S DREXEL Chicago, IL"
73,73,74,49492468,3/21/06 22:15,2006,4829 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,7367962,IL,PAS,Chicago,IL,"4829 S DREXEL Chicago, IL"
74,74,75,49492470,3/21/06 22:31,2006,4625 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,857F291,IL,TMP,Chicago,IL,"4625 S DREXEL Chicago, IL"
75,75,76,49492472,3/21/06 22:31,2006,4625 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,4234506,IL,PAS,Chicago,IL,"4625 S DREXEL Chicago, IL"
76,76,77,50002538,3/20/06 15:09,2006,1617 N WELLS,18,CPD,940060,PARK/STAND ON BICYCLE PATH,D44STC,TX,PAS,Chicago,IL,"1617 N WELLS Chicago, IL"
77,77,78,50002624,3/22/06 17:28,2006,1531 N WELLS,18,CPD,940060,PARK/STAND ON BICYCLE PATH,9859563,IL,PAS,Chicago,IL,"1531 N WELLS Chicago, IL"
78,78,79,49493334,3/23/06 22:00,2006,4659 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,6458460,IL,PAS,Chicago,IL,"4659 S DREXEL Chicago, IL"
79,79,80,49493487,3/25/06 19:46,2006,4659 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,9874710,IL,PAS,Chicago,IL,"4659 S DREXEL Chicago, IL"
80,80,81,49493488,3/25/06 15:47,2006,4657 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,9654007,IL,PAS,Chicago,IL,"4657 S DREXEL Chicago, IL"
81,81,82,49493489,3/25/06 19:49,2006,4613 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,3613196,IL,PAS,Chicago,IL,"4613 S DREXEL Chicago, IL"
82,82,83,49493495,3/25/06 22:39,2006,4825 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,7628930,IL,PAS,Chicago,IL,"4825 S DREXEL Chicago, IL"
83,83,84,49817386,3/25/06 10:50,2006,1604 N WELLS,18,CPD,940060,PARK/STAND ON BICYCLE PATH,38004E,IL,TRK,Chicago,IL,"1604 N WELLS Chicago, IL"
84,84,85,49461589,3/14/06 10:25,2006,716 W 67TH,7,CPD,940060,PARK/STAND ON BICYCLE PATH,576F887,IL,TMP,Chicago,IL,"716 W 67TH Chicago, IL"
85,85,86,49493506,3/26/06 19:10,2006,3901 S LAKE SHORE DR,21,CPD,940060,PARK/STAND ON BICYCLE PATH,9998024,IL,PAS,Chicago,IL,"3901 S LAKE SHORE DR Chicago, IL"
86,86,87,49493731,3/28/06 22:47,2006,4825 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,108NCD,KY,PAS,Chicago,IL,"4825 S DREXEL Chicago, IL"
87,87,88,49815665,3/29/06 6:40,2006,1551 N WELLS,18,CPD,940060,PARK/STAND ON BICYCLE PATH,9115307,IL,PAS,Chicago,IL,"1551 N WELLS Chicago, IL"
88,88,89,49493907,4/3/06 17:20,2006,442 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,7879863,IL,PAS,Chicago,IL,"442 S DREXEL Chicago, IL"
89,89,90,49493963,4/3/06 17:18,2006,4430 S DREXEL BLVD,21,CPD,940060,PARK/STAND ON BICYCLE PATH,762F160,IL,TMP,Chicago,IL,"4430 S DREXEL BLVD Chicago, IL"
90,90,91,49493964,4/3/06 17:18,2006,4420 S DREXEL BLVD,21,CPD,940060,PARK/STAND ON BICYCLE PATH,6616358,IL,PAS,Chicago,IL,"4420 S DREXEL BLVD Chicago, IL"
91,91,92,49433938,4/5/06 21:50,2006,3131 N CLARK,23,CPD,940060,PARK/STAND ON BICYCLE PATH,3328TX,IL,TXI,Chicago,IL,"3131 N CLARK Chicago, IL"
92,92,93,49433939,4/5/06 22:00,2006,3130 N CLARK,23,CPD,940060,PARK/STAND ON BICYCLE PATH,6115TX,IL,TXI,Chicago,IL,"3130 N CLARK Chicago, IL"
93,93,94,49494456,4/4/06 20:37,2006,4919 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,6773071,IL,PAS,Chicago,IL,"4919 S DREXEL Chicago, IL"
94,94,95,49824757,4/3/06 17:14,2006,1603 N WELLS,18,CPD,940060,PARK/STAND ON BICYCLE PATH,9429288,IL,PAS,Chicago,IL,"1603 N WELLS Chicago, IL"
95,95,96,49494429,4/5/06 21:34,2006,4722 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,9870266,IL,PAS,Chicago,IL,"4722 S DREXEL Chicago, IL"
96,96,97,49494433,4/5/06 21:34,2006,4728 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,7632282,IL,PAS,Chicago,IL,"4728 S DREXEL Chicago, IL"
97,97,98,49494435,4/5/06 21:06,2006,4917 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,2306756,IL,TMP,Chicago,IL,"4917 S DREXEL Chicago, IL"
98,98,99,49494437,4/5/06 21:37,2006,4915 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,23A3704,AL,PAS,Chicago,IL,"4915 S DREXEL Chicago, IL"
99,99,100,49494439,4/5/06 21:46,2006,4905 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,4480816,IL,PAS,Chicago,IL,"4905 S DREXEL Chicago, IL"
100,100,101,49494468,4/5/06 21:24,2006,4536 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,7760693,IL,PAS,Chicago,IL,"4536 S DREXEL Chicago, IL"
101,101,102,49494470,4/5/06 21:28,2006,4826 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,45P8048,IN,PAS,Chicago,IL,"4826 S DREXEL Chicago, IL"
102,102,103,49494472,4/5/06 21:33,2006,4720 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,958F918,IL,TMP,Chicago,IL,"4720 S DREXEL Chicago, IL"
103,103,104,49494474,4/5/06 21:33,2006,14720 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,96185G,IL,TRK,Chicago,IL,"14720 S DREXEL Chicago, IL"
104,104,105,50006450,4/5/06 16:16,2006,936 W ARMITAGE,18,CPD,940060,PARK/STAND ON BICYCLE PATH,6760537,IL,PAS,Chicago,IL,"936 W ARMITAGE Chicago, IL"
105,105,106,49844252,4/11/06 16:38,2006,4617 S DREXEL D,21,CPD,940060,PARK/STAND ON BICYCLE PATH,7654153,IL,PAS,Chicago,IL,"4617 S DREXEL D Chicago, IL"
106,106,107,49844261,4/11/06 18:48,2006,6021 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,5331975,IL,PAS,Chicago,IL,"6021 S DREXEL Chicago, IL"
107,107,108,49844262,4/11/06 18:48,2006,5017 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,4801045,IL,PAS,Chicago,IL,"5017 S DREXEL Chicago, IL"
108,108,109,49844263,4/11/06 18:49,2006,4919 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,9847280,IL,PAS,Chicago,IL,"4919 S DREXEL Chicago, IL"
109,109,110,49844264,4/11/06 18:55,2006,4613 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,J254878,IL,PAS,Chicago,IL,"4613 S DREXEL Chicago, IL"
110,110,111,49845332,4/13/06 20:11,2006,4613 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,9626288,IL,PAS,Chicago,IL,"4613 S DREXEL Chicago, IL"
111,111,112,49845335,4/13/06 20:11,2006,4657 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,2363344,IL,PAS,Chicago,IL,"4657 S DREXEL Chicago, IL"
112,112,113,49818856,4/16/06 4:52,2006,4149 W 26TH ST,10,CPD,940060,PARK/STAND ON BICYCLE PATH,9898715,IL,PAS,Chicago,IL,"4149 W 26TH ST Chicago, IL"
113,113,114,49826987,4/14/06 18:30,2006,1939 N LINCOLN,18,CPD,940060,PARK/STAND ON BICYCLE PATH,PBNJ73,IL,PAS,Chicago,IL,"1939 N LINCOLN Chicago, IL"
114,114,115,49443884,4/7/06 15:30,2006,1403 N WELLS,216,CPD,940060,PARK/STAND ON BICYCLE PATH,7031837,IL,PAS,Chicago,IL,"1403 N WELLS Chicago, IL"
115,115,116,49576715,4/18/06 22:50,2006,3306 N SOUTH PORT,19,CPD,940060,PARK/STAND ON BICYCLE PATH,EAH3,IL,PAS,Chicago,IL,"3306 N SOUTH PORT Chicago, IL"
116,116,117,49753646,4/12/06 23:39,2006,6439  DAMEN,7,CPD,940060,PARK/STAND ON BICYCLE PATH,6420194,IL,PAS,Chicago,IL,"6439  DAMEN Chicago, IL"
117,117,118,48202664,4/22/06 23:30,2006,2451 N HALSTED,19,CPD,940060,PARK/STAND ON BICYCLE PATH,1291TX,IL,TXI,Chicago,IL,"2451 N HALSTED Chicago, IL"
118,118,119,48202665,4/27/06 0:30,2006,2540 N HALSTED,19,CPD,940060,PARK/STAND ON BICYCLE PATH,1957TX,IL,TXI,Chicago,IL,"2540 N HALSTED Chicago, IL"
119,119,120,49443424,4/21/06 15:55,2006,1407 N WELLS,216,CPD,940060,PARK/STAND ON BICYCLE PATH,7031837,IL,PAS,Chicago,IL,"1407 N WELLS Chicago, IL"
120,120,121,49827752,4/19/06 3:49,2006,1429 W AUGUSTA,13,CPD,940060,PARK/STAND ON BICYCLE PATH,J963928,IL,PAS,Chicago,IL,"1429 W AUGUSTA Chicago, IL"
121,121,122,49844117,4/23/06 18:49,2006,4428 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,8359219,IL,PAS,Chicago,IL,"4428 S DREXEL Chicago, IL"
122,122,123,49818991,4/30/06 11:11,2006,4215 W 26TH ST,10,CPD,940060,PARK/STAND ON BICYCLE PATH,8466628,IL,PAS,Chicago,IL,"4215 W 26TH ST Chicago, IL"
123,123,124,49818992,4/30/06 11:14,2006,4146 W 26TH ST,10,CPD,940060,PARK/STAND ON BICYCLE PATH,6515YX,IL,TRK,Chicago,IL,"4146 W 26TH ST Chicago, IL"
124,124,125,49818996,4/30/06 12:04,2006,4148 W 26TH ST,10,CPD,940060,PARK/STAND ON BICYCLE PATH,44G503,IL,TMP,Chicago,IL,"4148 W 26TH ST Chicago, IL"
125,125,126,49818998,4/30/06 12:09,2006,4227 W 26TH ST,10,CPD,940060,PARK/STAND ON BICYCLE PATH,T881045,IL,PAS,Chicago,IL,"4227 W 26TH ST Chicago, IL"
126,126,127,49832606,4/24/06 14:30,2006,2901 W LAWRENCE,17,CPD,940060,PARK/STAND ON BICYCLE PATH,UDM926,NJ,PAS,Chicago,IL,"2901 W LAWRENCE Chicago, IL"
127,127,128,49844123,4/27/06 17:46,2006,4424 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,5774956,IL,PAS,Chicago,IL,"4424 S DREXEL Chicago, IL"
128,128,129,49942825,4/26/06 21:15,2006,8302 S LASALLE,6,CPD,940060,PARK/STAND ON BICYCLE PATH,6040710,IL,PAS,Chicago,IL,"8302 S LASALLE Chicago, IL"
129,129,130,50099058,5/3/06 13:15,2006,540 N DEARBORN,18,CPD,940060,PARK/STAND ON BICYCLE PATH,35210H,IL,TRK,Chicago,IL,"540 N DEARBORN Chicago, IL"
130,130,131,49332773,5/3/06 21:55,2006,2600 S LAKE SHORE DRIV,1,CPD,940060,PARK/STAND ON BICYCLE PATH,6579654,IL,PAS,Chicago,IL,"2600 S LAKE SHORE DRIV Chicago, IL"
131,131,132,49854767,4/27/06 22:00,2006,2854 N HALSTEAD,19,CPD,940060,PARK/STAND ON BICYCLE PATH,5192176,IL,PAS,Chicago,IL,"2854 N HALSTEAD Chicago, IL"
132,132,133,50043778,3/6/06 11:01,2006,34 W 83RD STREET,5,CPD,940060,PARK/STAND ON BICYCLE PATH,7374886,IL,PAS,Chicago,IL,"34 W 83RD STREET Chicago, IL"
133,133,134,50193719,5/6/06 16:16,2006,2254 N LINCOLN,18,CPD,940060,PARK/STAND ON BICYCLE PATH,J983141,IL,PAS,Chicago,IL,"2254 N LINCOLN Chicago, IL"
134,134,135,50024401,4/22/06 18:52,2006,7356 S SOUTH SHORE DR,3,CPD,940060,PARK/STAND ON BICYCLE PATH,223841D,IL,TRK,Chicago,IL,"7356 S SOUTH SHORE DR Chicago, IL"
135,135,136,49846140,5/4/06 17:31,2006,5007 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,7257328,IL,PAS,Chicago,IL,"5007 S DREXEL Chicago, IL"
136,136,137,49846147,5/8/06 17:37,2006,4625 S DREXEL,21,CPD,940060,PARK/STAND ON BICYCLE PATH,6991272,IL,PAS,Chicago,IL,"4625 S DREXEL Chicago, IL"
