id,ticket_num,issued,year,address,unit_num,unit_desc,violation_code,code_description,license,license_st,license_type,city,state,location,coors,centroid
4431,65658958,7/11/11 16:00,2015,5517 S PAYEN DR,2,CPD,940060,PARK/STAND ON BICYCLE PATH,P878012,IL,PAS,Chicago,IL,"5517 S PAYEN DR Chicago, IL","[41.8842506409, -87.6324462891]",TRUE
4877,58571207,10/5/06 21:39,2010,3600 S COTTAGE,21,CPD,940060,PARK/STAND ON BICYCLE PATH,7086820,IL,PAS,Chicago,IL,"3600 S COTTAGE GROVE AVE Chicago, IL","[41.8842506409, -87.6324462891]",TRUE
4932,59018818,5/29/07 22:11,2011,1900 E SCIENCE DR,3,CPD,940060,PARK/STAND ON BICYCLE PATH,H895269,IL,PAS,Chicago,IL,"1900 E SCIENCE DR Chicago, IL","[41.8842506409, -87.6324462891]",TRUE
5017,9090296287,1/9/08 8:10,2012,5101 S 123 MAIN ST,145,CPD-Other,940060,PARK/STAND ON BICYCLE PATH,0,IL,PAS,Chicago,IL,"5101 S 123 MAIN ST Chicago, IL","[41.8842506409, -87.6324462891]",TRUE
5045,61251575,3/12/08 12:56,2012,5626 S MARTIN LUTHER KING,2,CPD,940060,PARK/STAND ON BICYCLE PATH,K126890,IL,PAS,Chicago,IL,"5626 S KING Chicago, IL","[41.8842506409, -87.6324462891]",TRUE
5046,61227846,3/1/08 12:35,2012,8424 S COTTAGE,6,CPD,940060,PARK/STAND ON BICYCLE PATH,H175380,IL,PAS,Chicago,IL,"8424 S COTTAGE GROVE AVE Chicago, IL","[41.8842506409, -87.6324462891]",TRUE
5704,64445607,4/24/10 16:18,2014,3652 W CENTRAL PARK,11,CPD,940060,PARK/STAND ON BICYCLE PATH,R139329,IL,PAS,Chicago,IL,"3652 N CENTRAL PARK Chicago, IL","[41.8842506409, -87.6324462891]",TRUE
6019,65315816,10/21/10 10:10,2014,300 N BRIAR,19,CPD,940060,PARK/STAND ON BICYCLE PATH,G617424,IL,PAS,Chicago,IL,"300 N BRIAR Chicago, IL","[41.8842506409, -87.6324462891]",TRUE
6600,66475681,10/30/11 19:28,2015,1147 S CANAL S,1,CPD,940060,PARK/STAND ON BICYCLE PATH,A354530,IL,PAS,Chicago,IL,"1147 S CANAL ST Chicago, IL","[41.8842506409, -87.6324462891]",TRUE
6706,66763041,3/21/12 12:48,2016,5470 W MADISOS T,15,CPD,940060,PARK/STAND ON BICYCLE PATH,5906DUB,IL,TRK,Chicago,IL,"5470 W MADISON T Chicago, IL","[41.8842506409, -87.6324462891]",TRUE
6823,66760633,4/24/12 9:26,2016,1804 W ROOSEVELT R,12,CPD,940060,PARK/STAND ON BICYCLE PATH,A504053,IL,PAS,Chicago,IL,"1804 W ROOSEVELT RD Chicago, IL","[41.8842506409, -87.6324462891]",TRUE
